cell,orig.ident,nCount_gene,nFeature_gene,nCount_RNA,nFeature_RNA,sample_id,sample_id_1,tissue_type,Kit_ID,Kit_sample,Seq_Number,Tissue.Type,Prep.Method,Prep.Number,Age,Time.Group,Poor_Read_Number,Moderate_Alignment,Rod_Cells,Possible_Rods,Non_Photoreceptors,Collection_Method,Outliers,VSX2_Outlier,X9_Cluster_Green_Rods,HR_Cluster_LB,HR_Cluster_Black,HR_Cluster_LG,HR_Cluster_DG,HR_Cluster_Pink,Cluster_Color,Fetal_Age,Old_Seq_Number,Old_Seq_Kit_ID,excluded_because,batch,names,type,gene_snn_res.0.2,seurat_clusters,gene_snn_res.0.4,gene_snn_res.0.6,gene_snn_res.0.8,gene_snn_res.1,gene_snn_res.1.2,gene_snn_res.1.4,gene_snn_res.1.6,gene_snn_res.1.8,gene_snn_res.2,read_count,percent.mt,nCount_transcript,nFeature_transcript,transcript_snn_res.0.2,transcript_snn_res.0.4,transcript_snn_res.0.6,transcript_snn_res.0.8,transcript_snn_res.1,transcript_snn_res.1.2,transcript_snn_res.1.4,transcript_snn_res.1.6,transcript_snn_res.1.8,transcript_snn_res.2,ident
ds20181001-0497,ds20181001,476160.29962699325,1644,1534411.94872151,9014,ds20181001-0497,ds20181001-0497,organoid,2B,17,3,Organoid,Kuwahara,116,113,5,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0497,PE,3,7,5,5,5,6,7,5,7,4,7,NA,0.26994256256342314,474369.3561694526,4541,3,5,5,5,6,7,7,7,6,6,7
ds20181001-0498,ds20181001,386763.01526495005,1213,1656717.20604023,7223,ds20181001-0498,ds20181001-0498,organoid,2B,18,3,Organoid,Kuwahara,116,113,5,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0498,PE,1,0,4,4,4,4,4,3,3,2,0,NA,0.6704984150040139,386414.6970621307,3332,1,3,3,3,3,3,2,1,9,10,0
ds20181001-0499,ds20181001,414696.4128803559,1553,1710760.06835542,9169,ds20181001-0499,ds20181001-0499,organoid,2B,19,3,Organoid,Kuwahara,116,113,5,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0499,PE,2,6,3,3,3,3,1,7,5,7,6,NA,0.4606749524450928,413495.5933750123,4247,2,4,4,4,5,6,6,6,5,5,6
ds20181001-0500,ds20181001,461516.61792543397,1264,2127496.40441214,7309,ds20181001-0500,ds20181001-0500,organoid,2B,20,3,Organoid,Kuwahara,116,113,5,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0500,PE,1,3,1,0,0,0,3,1,1,1,3,NA,0.3437541434450176,461680.1026284576,3424,1,1,0,0,3,3,2,1,7,7,3
ds20181001-0501,ds20181001,491202.2260869957,1834,2089631.23157932,10654,ds20181001-0501,ds20181001-0501,organoid,2B,21,3,Organoid,Kuwahara,116,113,5,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0501,PE,2,6,3,3,3,3,1,7,5,7,6,NA,0.2626194643875862,490374.168824832,5129,2,4,4,4,5,6,6,6,5,5,6
ds20181001-0502,ds20181001,627455.6682366945,1340,2444609.93240184,7828,ds20181001-0502,ds20181001-0502,organoid,2B,22,3,Organoid,Kuwahara,116,113,5,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0502,PE,1,0,4,4,4,4,4,3,3,2,0,NA,0.5066234037135852,625796.1077539625,3838,1,3,3,3,3,3,2,1,9,10,0
ds20181001-0503,ds20181001,713472.2271641503,1127,2674382.78742436,6518,ds20181001-0503,ds20181001-0503,organoid,2B,23,3,Organoid,Kuwahara,116,113,5,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0503,PE,1,0,4,4,4,4,4,3,3,2,0,NA,0.3966917677974199,710961.0731060269,3140,1,3,3,3,4,5,5,5,4,4,0
ds20181001-0504,ds20181001,532183.6033636649,1645,2356710.25434659,9543,ds20181001-0504,ds20181001-0504,organoid,2B,24,3,Organoid,Kuwahara,116,113,5,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0504,PE,2,6,3,3,3,3,1,7,5,7,6,NA,0.18730416352706122,531893.464736953,4654,2,4,4,4,5,6,6,6,5,5,6
ds20181001-0505,ds20181001,559092.1381707072,1448,2040547.39661355,8348,ds20181001-0505,ds20181001-0505,organoid,2B,25,3,Organoid,Kuwahara,115,126,6,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0505,PE,1,0,4,4,4,4,4,3,3,2,0,NA,0.5294201061078738,556522.902298393,4060,1,3,3,3,4,5,5,5,4,4,0
ds20181001-0506,ds20181001,442193.3807240349,1256,2119736.67791679,7395,ds20181001-0506,ds20181001-0506,organoid,2B,26,3,Organoid,Kuwahara,115,126,6,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0506,PE,1,4,1,0,0,0,3,1,1,1,4,NA,0.1588117132480417,441764.7270585457,3555,1,1,0,0,3,3,2,1,7,7,4
